,accommodates,bathrooms,bedrooms,price,cleaning_fee,security_deposit,extra_people,guests_included,distance,size,host_is_superhost,latitude,longitude,minimum_nights,instant_bookable,is_business_travel_ready,tv,wifi,kitchen,washer,dryer,heating,free_parking,smoking_allowed,property_type,neighbourhood,room_type,cancellation_policy,bed_type
14180,1,1.0,1,25.0,0.0,0.0,25.0,1,5.625529077300638,20.0,False,52.50924166973381,13.486231921145782,10,True,False,False,True,True,False,False,False,False,False,1,6,0,1,0
14181,2,1.0,1,45.0,0.0,0.0,0.0,1,4.225063380162623,47.35729701034151,False,52.5159753423706,13.467090946678233,2,False,False,False,True,True,True,True,True,False,True,1,0,0,1,0
14182,4,1.0,1,30.0,20.0,500.0,19.0,2,3.5314619526310644,166.0,True,52.55173555164894,13.407012646306267,2,True,False,True,True,False,True,True,True,False,False,1,2,0,0,0
14183,2,1.0,1,45.0,0.0,250.0,0.0,2,7.279461413461094,47.62641052427094,False,52.47426806913641,13.481944422047212,2,True,False,False,True,True,True,False,True,True,False,1,7,0,2,0
14184,2,1.0,1,50.0,0.0,0.0,0.0,1,3.0936726698328934,48.9739633659713,True,52.49521265589814,13.425759471292178,2,False,False,True,True,True,False,True,True,False,True,1,0,0,1,0
14185,2,1.0,1,40.0,0.0,0.0,15.0,1,1.8531022684821248,20.0,True,52.50802935944759,13.4240524355901,7,False,False,False,True,True,True,True,True,False,False,1,1,0,2,0
14186,3,2.0,1,100.0,100.0,0.0,0.0,1,11.620943562577793,91.04831752688358,False,52.51238315156761,13.233717787726741,3,True,False,True,True,True,True,True,True,True,False,2,4,1,0,0
14187,1,1.0,1,25.0,0.0,0.0,8.0,1,1.0532701141577354,42.72506136899037,False,52.51151252690134,13.398089133538539,2,False,False,False,False,True,False,True,False,False,True,4,1,0,0,0
14188,4,1.0,2,95.0,50.0,250.0,20.0,2,8.633749410014298,83.53462825463538,False,52.51009899243572,13.278451918368585,2,True,False,True,True,True,True,True,True,False,False,1,4,1,0,0
14189,1,1.5,1,20.0,10.0,0.0,0.0,1,7.188213644413115,15.0,False,52.50791325226623,13.300648358134513,4,True,False,False,True,True,True,True,True,False,False,1,4,0,2,0
14190,4,1.0,1,65.0,35.0,0.0,5.0,2,4.357650217710873,64.30367564616796,False,52.48678436349206,13.439165542003222,5,False,False,False,False,True,True,True,True,False,False,1,3,1,2,0
